Date;Calendrier Zone A;Calendrier Zone B;Calendrier Zone C;Nom de la période;timestamp_unix
1998-08-31;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;904521600
1998-09-16;Hors Vacances;Hors Vacances;Hors Vacances;;905904000
1998-10-13;Hors Vacances;Hors Vacances;Hors Vacances;;908236800
1999-02-28;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;920160000
1999-03-27;Hors Vacances;Hors Vacances;Hors Vacances;;922492800
1999-04-08;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;923529600
1999-05-01;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;925516800
1999-06-08;Hors Vacances;Hors Vacances;Hors Vacances;;928800000
1999-06-26;Hors Vacances;Hors Vacances;Hors Vacances;;930355200
2024-04-09;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1712620800
2024-04-26;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1714089600
2024-05-06;Hors Vacances;Hors Vacances;Hors Vacances;;1714953600
2024-05-12;Hors Vacances;Hors Vacances;Hors Vacances;;1715472000
2024-05-18;Hors Vacances;Hors Vacances;Hors Vacances;;1715990400
2024-06-14;Hors Vacances;Hors Vacances;Hors Vacances;;1718323200
2024-06-23;Hors Vacances;Hors Vacances;Hors Vacances;;1719100800
2024-07-10;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1720569600
2024-08-05;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1722816000
2024-08-07;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1722988800
2024-08-09;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1723161600
2024-08-13;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1723507200
2024-08-18;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1723939200
2024-09-06;Hors Vacances;Hors Vacances;Hors Vacances;;1725580800
2024-10-24;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1729728000
2024-12-28;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1735344000
2024-12-29;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1735430400
2025-01-17;Hors Vacances;Hors Vacances;Hors Vacances;;1737072000
2025-01-18;Hors Vacances;Hors Vacances;Hors Vacances;;1737158400
2025-03-20;Hors Vacances;Hors Vacances;Hors Vacances;;1742428800
2025-04-05;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1743811200
2025-05-23;Hors Vacances;Hors Vacances;Hors Vacances;;1747958400
2025-05-27;Hors Vacances;Hors Vacances;Hors Vacances;;1748304000
2025-06-06;Hors Vacances;Hors Vacances;Hors Vacances;;1749168000
2025-07-13;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1752364800
2025-09-03;Hors Vacances;Hors Vacances;Hors Vacances;;1756857600
2025-12-13;Hors Vacances;Hors Vacances;Hors Vacances;;1765584000
2025-12-30;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1767052800
2026-01-13;Hors Vacances;Hors Vacances;Hors Vacances;;1768262400
2026-01-18;Hors Vacances;Hors Vacances;Hors Vacances;;1768694400
2026-02-03;Hors Vacances;Hors Vacances;Hors Vacances;;1770076800
2026-02-04;Hors Vacances;Hors Vacances;Hors Vacances;;1770163200
2026-03-12;Hors Vacances;Hors Vacances;Hors Vacances;;1773273600
2026-03-23;Hors Vacances;Hors Vacances;Hors Vacances;;1774224000
2026-06-25;Hors Vacances;Hors Vacances;Hors Vacances;;1782345600
2026-08-16;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1786838400
2026-09-17;Hors Vacances;Hors Vacances;Hors Vacances;;1789603200
2026-10-28;Hors Vacances;Hors Vacances;Hors Vacances;;1793145600
2026-11-07;Hors Vacances;Hors Vacances;Hors Vacances;;1794009600
2026-12-07;Hors Vacances;Hors Vacances;Hors Vacances;;1796601600
2026-12-09;Hors Vacances;Hors Vacances;Hors Vacances;;1796774400
1999-08-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;933638400
1999-08-07;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;933984000
1999-08-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;934329600
1999-08-27;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;935712000
1999-08-31;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;936057600
1999-09-20;Hors Vacances;Hors Vacances;Hors Vacances;;937785600
1999-09-25;Hors Vacances;Hors Vacances;Hors Vacances;;938217600
1999-09-29;Hors Vacances;Hors Vacances;Hors Vacances;;938563200
1999-10-06;Hors Vacances;Hors Vacances;Hors Vacances;;939168000
1999-10-25;Hors Vacances;Hors Vacances;Hors Vacances;;940809600
1999-11-04;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;941673600
1999-11-24;Hors Vacances;Hors Vacances;Hors Vacances;;943401600
1999-12-23;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;945907200
